name,number,status
PEP Purpose and Guidelines,1,Active
Adding a Rational Literal to Python,240,Rejected
Adding a Rational Type to Python,239,Rejected
Back to the __future__,236,Final
Import on Case-Insensitive Platforms,235,Final
Changing the Division Operator,238,Final
Metadata for Python Software Packages,241,Superseded
Numeric Kinds,242,Rejected
Unifying Long Integers and Integers,237,Final
Python Online Help,233,Deferred
Iterators,234,Final
Function Attributes,232,Final
Using Distutils to Build Python,229,Final
__findattr__(),231,Rejected
Reworking Python’s Numeric Model,228,Withdrawn
Warning Framework,230,Final
2023 Term Steering Council election,8104,Active
2021 Term steering council election,8102,Active
2022 Term steering council election,8103,Active
January 2019 steering council election,8100,Active
2020 Term steering council election,8101,Active
The Commons Governance Model,8014,Rejected
The Steering Council Model,8016,Accepted
The External Council Governance Model,8013,Rejected
Organization of the Python community,8015,Rejected
The Community Governance Model,8012,Rejected
The Technical Leader Governance Model,8010,Rejected
Python Governance Voting Process,8001,Final
Python Language Governance Proposal Overview,8000,Active
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
Python Web Server Gateway Interface v1.0.1,3333,Final
Open Source Governance Survey,8002,Active
Asynchronous IO Support Rebooted: the “asyncio” Module,3156,Final
Pickle protocol version 4,3154,Final
Asynchronous IO support,3153,Superseded
Qualified name for classes and functions,3155,Final
Cofunctions,3152,Rejected
Reworking the OS and IO exception hierarchy,3151,Final
PYC Repository Directories,3147,Final
futures - execute computations asynchronously,3148,Final
Statement local namespaces (aka “given” clause),3150,Deferred
ABI version tagged .so files,3149,Final
Merging Unladen Swallow into CPython,3146,Withdrawn
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
IP Address Manipulation Library for the Python Standard Library,3144,Final
A Type Hierarchy for Numbers,3141,Final
Add a “while” clause to generator expressions,3142,Rejected
Standard daemon process library,3143,Deferred
"str(container) should call str(item), not repr(item)",3140,Rejected
Cleaning out sys and the “interpreter” module,3139,Rejected
Immutable Bytes and Mutable Buffer,3137,Final
String representation in Python 3000,3138,Final
Labeled break and continue,3136,Rejected
Exception Chaining and Embedded Tracebacks,3134,Final
New Super,3135,Final
Extended Iterable Unpacking,3132,Final
Introducing Roles,3133,Rejected
Supporting Non-ASCII Identifiers,3131,Final
Access to Current Module/Class/Function,3130,Rejected
BList: A Faster List-like Type,3128,Rejected
Integer Literal Support and Syntax,3127,Final
Class Decorators,3129,Final
Remove Implicit String Concatenation,3126,Rejected
Remove Backslash Continuation,3125,Rejected
"Overloading, Generic Functions, Interfaces, and Adaptation",3124,Deferred
Making PyObject_HEAD conform to standard C,3123,Final
Delineation of the main module,3122,Rejected
Extension Module Initialization and Finalization,3121,Accepted
Using UTF-8 as the default source encoding,3120,Final
Introducing Abstract Base Classes,3119,Final
Metaclasses in Python 3000,3115,Final
Postfix type declarations,3117,Rejected
New I/O,3116,Final
Revising the buffer protocol,3118,Final
Removal of Tuple Parameter Unpacking,3113,Final
Bytes literals in Python 3000,3112,Final
Renaming iterator.next() to iterator.__next__(),3114,Final
Simple input built-in in Python 3000,3111,Final
Catching Exceptions in Python 3000,3110,Final
Raising Exceptions in Python 3000,3109,Final
Standard Library Reorganization,3108,Final
Function Annotations,3107,Final
Make print a function,3105,Final
"Revamping dict.keys(), .values() and .items()",3106,Final
Access to Names in Outer Scopes,3104,Final
Keyword-Only Arguments,3102,Final
A Switch/Case Statement,3103,Rejected
Advanced String Formatting,3101,Final
Things that will Not Change in Python 3000,3099,Final
Procedure for Backwards-Incompatible Changes,3002,Final
Miscellaneous Python 3.0 Plans,3100,Final
Python Language Moratorium,3003,Final
Procedure for reviewing and improving standard library modules,3001,Withdrawn
Reserved,801,Active
